"ชื่อบริษัท (Company Name)","ประเทศ/ที่ตั้ง (Location)","ภูมิภาค (Region)","กลุ่มอุตสาหกรรม (Industry)","ช่องทางการขาย (Sales Channel)","ผลิตภัณฑ์หลัก (Products)","ผู้ติดต่อประสานงาน (Contact Person)","อีเมล (Email)","เบอร์โทรศัพท์ (Phone)","เว็บไซต์ (Website)","ดึงเข้า CRM แล้ว (CRM Synced)","คะแนนคุณภาพ (Lead Score)","มูลค่า Lead (Lead Value)","มาตรฐานรับรอง (Certifications)","หมายเหตุฝ่ายขาย (Notes)"
"Thai-Yazaki Electric Wire Co., Ltd.","กรุงเทพฯ, ประเทศไทย (สำนักงานใหญ่)","ประเทศไทย","ยานยนต์ (Automotive)","OEM","ชุดสายไฟรถยนต์ (Automotive Wiring Harness), สายไฟฟ้าและเคเบิลต่างๆ","คุณทวีศักดิ์ (ฝ่ายจัดซื้อหลัก)","smb_marketing@th.yazaki.com","02-653-2550","http://www.thaiyazaki.com","ดึงแล้ว","100","45000000","IATF 16949, ISO 9001, ISO 14001","ผู้ผลิตชุดสายไฟและสายไฟรายใหญ่ที่สุดในประเทศไทยและเป็นซัพพลายเออร์หลักของค่ายรถยนต์ญี่ปุ่น"
"Sumitomo Electric Wiring Systems (Thailand) Ltd. (SEWT)","ระยอง, ประเทศไทย","ประเทศไทย","ยานยนต์ (Automotive)","OEM","ชุดสายไฟยานยนต์ (Automotive Wire Harness) และชิ้นส่วนอิเล็กทรอนิกส์สำหรับรถยนต์","คุณสมบัติ (วิศวกรโรงงาน)","info@sewt.co.th","038-956300","https://www.sws.co.jp/","ดึงแล้ว","100","38000000","IATF 16949, ISO 9001, ISO 14001","เครือข่ายของ Sumitomo Wiring Systems Group ประเทศญี่ปุ่น ซึ่งเป็นผู้ผลิตระดับท็อปของโลก"
"G.S. Electech (Thailand) Co., Ltd.","ฉะเชิงเทรา, ประเทศไทย","ประเทศไทย","ยานพาหนะพิเศษ (SPV)","OEM","ชุดสายไฟระบบรถบรรทุกพิเศษ (Special Purpose Vehicle Wiring Harness)","คุณมานะ (ฝ่ายวางแผน)","purchase@gset.co.th","038-571-331","http://www.gset.co.th","ยังไม่ได้ดึง","100","25000000","IATF 16949, ISO 9001","รับสั่งผลิตสายไฟและชุดสายไฟตามคำสั่งซื้อ OEM ของรถบรรทุกพิเศษและอุปกรณ์เฉพาะทาง"
"Sanko Electronics (Thailand) Co., Ltd.","ปราจีนบุรี, ประเทศไทย","ประเทศไทย","เครื่องจักรเกษตร (Agricultural Machinery)","OEM","ชุดสายไฟสำหรับรถแทรกเตอร์และรถเกี่ยวข้าว (Agricultural Harness Assemblies)","คุณอรพินท์ (จัดซื้อชิ้นส่วน)","sales@sankoelec-th.net","037-481-095","https://sankoelec-th.net/","ยังไม่ได้ดึง","100","12000000","ISO 9001, ISO 14001, IATF 16949","ขยายการผลิตเข้าสู่ชุดสายไฟเครื่องจักรการเกษตรขนาดใหญ่ในพื้นที่ชลบุรี/ปราจีนบุรี"
"Thai Summit Group (Division Wiring and Electric Components)","สมุทรปราการ, ประเทศไทย","ประเทศไทย","ยานยนต์ (Automotive)","OEM","ชุดสายไฟรถยนต์และมอเตอร์ไซค์, ชิ้นส่วนอุปกรณ์ไฟฟ้าและอิเล็กทรอนิกส์ทางยานยนต์","คุณสุรศักดิ์ (ผู้ช่วยฝ่ายผลิต)","info@thaisummit.co.th","02-325-0300","https://www.thaisummit.co.th","ดึงแล้ว","100","30000000","IATF 16949, ISO 9001, ISO 14001","บริษัทในเครือไทยซัมมิท ยักษ์ใหญ่ผู้ผลิตชิ้นส่วนยานยนต์ของไทยที่ได้มาตรฐานระดับสากล"
"Connector Expert Co., Ltd.","ฉะเชิงเทรา, ประเทศไทย","ประเทศไทย","เครื่องจักรเกษตร (Agricultural Machinery)","อู่/ร้านซ่อม (Repair Shop)","สายไฟประกอบสเปกอะไหล่ทดแทนชุดสายไฟรถไถและเครื่องสูบน้ำการเกษตร","คุณจิราภรณ์ (ฝ่ายวิศวกรรมเฉพาะทาง)","sales@thainippongroup.com","033-590-734","http://www.connectorexpert.net","ยังไม่ได้ดึง","72","350000","ISO 9001","รับซ่อมและประกอบสายเคเบิลตามตัวอย่างเดิม เหมาะสำหรับอู่ซ่อมเครื่องจักรกลการเกษตร"
"MSTD Enterprise Co., Ltd.","สมุทรปราการ, ประเทศไทย","ประเทศไทย","เครื่องใช้ไฟฟ้า (Home Appliance)","อะไหล่ทดแทน (Replacement)","สายเคเบิลอะไหล่เครื่องซักผ้าและตู้เย็นสำเร็จรูป (Home Appliance Wiring Parts)","คุณกฤษดา (เจ้าหน้าที่บริหารโครงการ)","mstd@mstd.co.th","02-701-5520","http://www.mstd.co.th","ยังไม่ได้ดึง","76","1500000","ISO 9001","มีแผงผลิตอะไหล่สายไฟทดแทนพร้อมขั้วเสียบมาตรฐานสำหรับเครื่องใช้ไฟฟ้าตามบ้านทั่วไป"
"Chusei (Thailand) Co., Ltd.","สมุทรปราการ, ประเทศไทย","ประเทศไทย","เครื่องใช้ไฟฟ้า (Home Appliance)","OEM","ชุดสายไฟประกอบเครื่องปรับอากาศและพัดลมแบรนด์ดังต่างๆ (Home Appliance OEM Harness)","คุณชัญญภัส (ผู้จัดการฝ่ายจัดซื้อ)","chusei.thai_ac@chusei.co.th","02-705-8772","http://www.chusei.co.th","ดึงแล้ว","88","8500000","ISO 9001, ISO 14001","โรงงานประกอบชุดสายไฟมาตรฐานญี่ปุ่น มีระบบตรวจสอบคุณภาพการทดสอบกระแสไฟฟ้าเชื่อมต่อแบบ 100%"
"Senshu Electric (Thailand) Co., Ltd.","กรุงเทพฯ, ประเทศไทย","ประเทศไทย","ยานพาหนะพิเศษ (SPV)","อู่/ร้านซ่อม (Repair Shop)","ชุดสายไฟทดแทนสำหรับห้องควบคุมรถเครนและรถขุดเจาะ (Crane/Excavator Cable Harness)","คุณนพดล (ทีมฝ่ายช่างเทคนิค)","senshu-thai@senshu.co.th","02-168-3224","http://www.senshu.co.th","ยังไม่ได้ดึง","72","420000","ISO 9001, ISO 14001","จัดหาสายไฟเกรดอุตสาหกรรมพิเศษที่ทนต่อรังสี UV และน้ำมันไฮดรอลิกสำหรับงานซ่อมบำรุงรถพิเศษ"
"Daiwa Harness (Thailand) Co., Ltd.","ชลบุรี, ประเทศไทย","ประเทศไทย","ยานยนต์ (Automotive)","OEM","การประกอบชุดสายไฟระบบไฟหน้าและคอนโซลรถยนต์ OEM (Auto Front/Console Harness)","คุณธีรชัย (หัวหน้าฝ่ายคุมคุณภาพ)","info@daiwaharness.co.th","038-447-457","http://www.daiwaharness.co.th","ดึงแล้ว","100","22000000","IATF 16949, ISO 9001","เน้นกลุ่มลูกค้าอุตสาหกรรมผลิตชิ้นส่วนยานยนต์ในแถบชลบุรีและระยองด้วยกระบวนการประกอบมาตรฐานญี่ปุ่น"
